time_s,total_queue,cum_delay_proxy
19806.8,61.0,797134.0999995416
19806.9,61.0,797140.1999995416
19807.0,61.0,797146.2999995416
19807.1,60.0,797152.2999995416
19807.2,60.0,797158.2999995416
19807.3,58.0,797164.0999995416
19807.4,58.0,797169.8999995417
19807.5,58.0,797175.6999995417
19807.6,59.0,797181.5999995418
19807.7,57.0,797187.2999995417
19807.8,57.0,797192.9999995417
19807.9,57.0,797198.6999995416
19808.0,57.0,797204.3999995416
19808.1,57.0,797210.0999995415
19808.2,58.0,797215.8999995416
19808.3,58.0,797221.6999995416
19808.4,58.0,797227.4999995417
19808.5,58.0,797233.2999995417
19808.6,58.0,797239.0999995418
19808.7,58.0,797244.8999995418
19808.8,56.0,797250.4999995418
19808.9,56.0,797256.0999995418
19809.0,56.0,797261.6999995417
19809.1,56.0,797267.2999995417
19809.2,59.0,797273.1999995417
19809.3,57.0,797278.8999995417
19809.4,57.0,797284.5999995416
19809.5,57.0,797290.2999995416
19809.6,57.0,797295.9999995416
19809.7,57.0,797301.6999995415
19809.8,57.0,797307.3999995415
19809.9,57.0,797313.0999995414
19810.0,57.0,797318.7999995414
19810.1,57.0,797324.4999995413
19810.2,57.0,797330.1999995413
19810.3,55.0,797335.6999995413
19810.4,55.0,797341.1999995413
19810.5,55.0,797346.6999995413
19810.6,55.0,797352.1999995413
19810.7,55.0,797357.6999995413
19810.8,55.0,797363.1999995413
19810.9,58.0,797368.9999995413
19811.0,56.0,797374.5999995413
19811.1,56.0,797380.1999995413
19811.2,56.0,797385.7999995413
19811.3,56.0,797391.3999995412
19811.4,56.0,797396.9999995412
19811.5,56.0,797402.5999995412
19811.6,56.0,797408.1999995412
19811.7,56.0,797413.7999995411
19811.8,55.0,797419.2999995411
19811.9,54.0,797424.6999995412
19812.0,54.0,797430.0999995412
19812.1,54.0,797435.4999995412
19812.2,54.0,797440.8999995412
19812.3,54.0,797446.2999995413
19812.4,54.0,797451.6999995413
19812.5,55.0,797457.1999995413
19812.6,55.0,797462.6999995413
19812.7,54.0,797468.0999995413
19812.8,54.0,797473.4999995413
19812.9,54.0,797478.8999995413
19813.0,54.0,797484.2999995414
19813.1,54.0,797489.6999995414
19813.2,54.0,797495.0999995414
19813.3,54.0,797500.4999995414
19813.4,53.0,797505.7999995415
19813.5,52.0,797510.9999995414
19813.6,52.0,797516.1999995414
19813.7,52.0,797521.3999995413
19813.8,52.0,797526.5999995413
19813.9,52.0,797531.7999995413
19814.0,52.0,797536.9999995412
19814.1,53.0,797542.2999995413
19814.2,53.0,797547.5999995413
19814.3,52.0,797552.7999995413
19814.4,52.0,797557.9999995412
19814.5,52.0,797563.1999995412
19814.6,52.0,797568.3999995411
19814.7,52.0,797573.5999995411
19814.8,52.0,797578.799999541
19814.9,52.0,797583.999999541
19815.0,51.0,797589.099999541
19815.1,50.0,797594.099999541
19815.2,50.0,797599.099999541
19815.3,50.0,797604.099999541
19815.4,51.0,797609.1999995409
19815.5,50.0,797614.1999995409
19815.6,50.0,797619.1999995409
19815.7,51.0,797624.2999995409
19815.8,50.0,797629.2999995409
19815.9,51.0,797634.3999995409
19816.0,50.0,797639.3999995409
19816.1,50.0,797644.3999995409
19816.2,50.0,797649.3999995409
19816.3,50.0,797654.3999995409
19816.4,51.0,797659.4999995409
