time_s,total_queue,cum_delay_proxy
13213.1,6.0,261241.90000002942
13213.2,6.0,261242.50000002942
13213.3,6.0,261243.10000002943
13213.4,6.0,261243.70000002944
13213.5,6.0,261244.30000002944
13213.6,6.0,261244.90000002945
13213.7,6.0,261245.50000002945
13213.8,6.0,261246.10000002946
13213.9,6.0,261246.70000002946
13214.0,7.0,261247.40000002948
13214.1,7.0,261248.1000000295
13214.2,7.0,261248.8000000295
13214.3,7.0,261249.5000000295
13214.4,7.0,261250.20000002952
13214.5,7.0,261250.90000002953
13214.6,7.0,261251.60000002955
13214.7,7.0,261252.30000002956
13214.8,7.0,261253.00000002957
13214.9,7.0,261253.70000002958
13215.0,7.0,261254.4000000296
13215.1,7.0,261255.1000000296
13215.2,7.0,261255.80000002962
13215.3,7.0,261256.50000002963
13215.4,7.0,261257.20000002964
13215.5,7.0,261257.90000002965
13215.6,7.0,261258.60000002966
13215.7,7.0,261259.30000002967
13215.8,7.0,261260.0000000297
13215.9,7.0,261260.7000000297
13216.0,7.0,261261.4000000297
13216.1,7.0,261262.10000002972
13216.2,7.0,261262.80000002973
13216.3,7.0,261263.50000002974
13216.4,6.0,261264.10000002975
13216.5,7.0,261264.80000002976
13216.6,7.0,261265.50000002977
13216.7,7.0,261266.20000002978
13216.8,7.0,261266.9000000298
13216.9,7.0,261267.6000000298
13217.0,7.0,261268.30000002982
13217.1,6.0,261268.90000002983
13217.2,6.0,261269.50000002983
13217.3,6.0,261270.10000002984
13217.4,6.0,261270.70000002984
13217.5,6.0,261271.30000002985
13217.6,6.0,261271.90000002985
13217.7,6.0,261272.50000002986
13217.8,6.0,261273.10000002987
13217.9,6.0,261273.70000002987
13218.0,6.0,261274.30000002988
13218.1,6.0,261274.90000002988
13218.2,6.0,261275.5000000299
13218.3,6.0,261276.1000000299
13218.4,6.0,261276.7000000299
13218.5,6.0,261277.3000000299
13218.6,6.0,261277.9000000299
13218.7,6.0,261278.50000002992
13218.8,6.0,261279.10000002992
13218.9,6.0,261279.70000002993
13219.0,6.0,261280.30000002994
13219.1,6.0,261280.90000002994
13219.2,6.0,261281.50000002995
13219.3,6.0,261282.10000002995
13219.4,6.0,261282.70000002996
13219.5,6.0,261283.30000002997
13219.6,6.0,261283.90000002997
13219.7,6.0,261284.50000002998
13219.8,6.0,261285.10000002998
13219.9,6.0,261285.70000003
13220.0,6.0,261286.30000003
13220.1,6.0,261286.90000003
13220.2,6.0,261287.50000003
13220.3,6.0,261288.10000003
13220.4,6.0,261288.70000003002
13220.5,6.0,261289.30000003002
13220.6,6.0,261289.90000003003
13220.7,6.0,261290.50000003004
13220.8,6.0,261291.10000003004
13220.9,6.0,261291.70000003005
13221.0,6.0,261292.30000003005
13221.1,6.0,261292.90000003006
13221.2,6.0,261293.50000003006
13221.3,6.0,261294.10000003007
13221.4,5.0,261294.60000003007
13221.5,5.0,261295.10000003007
13221.6,6.0,261295.70000003008
13221.7,6.0,261296.30000003008
13221.8,6.0,261296.9000000301
13221.9,6.0,261297.5000000301
13222.0,6.0,261298.1000000301
13222.1,5.0,261298.6000000301
13222.2,2.0,261298.8000000301
13222.3,2.0,261299.00000003012
13222.4,2.0,261299.20000003013
13222.5,2.0,261299.40000003015
13222.6,2.0,261299.60000003016
13222.7,2.0,261299.80000003017
13222.8,2.0,261300.00000003018
13222.9,2.0,261300.2000000302
13223.0,2.0,261300.4000000302
13223.1,2.0,261300.60000003022
13223.2,2.0,261300.80000003023
13223.3,2.0,261301.00000003024
13223.4,2.0,261301.20000003025
13223.5,2.0,261301.40000003026
13223.6,2.0,261301.60000003027
13223.7,2.0,261301.80000003029
13223.8,2.0,261302.0000000303
13223.9,2.0,261302.2000000303
13224.0,2.0,261302.40000003032
13224.1,2.0,261302.60000003033
13224.2,2.0,261302.80000003034
13224.3,2.0,261303.00000003036
13224.4,2.0,261303.20000003037
13224.5,2.0,261303.40000003038
13224.6,2.0,261303.6000000304
13224.7,2.0,261303.8000000304
13224.8,2.0,261304.0000000304
13224.9,2.0,261304.20000003043
13225.0,2.0,261304.40000003044
13225.1,2.0,261304.60000003045
13225.2,2.0,261304.80000003046
13225.3,2.0,261305.00000003047
13225.4,2.0,261305.20000003048
13225.5,2.0,261305.4000000305
13225.6,2.0,261305.6000000305
13225.7,2.0,261305.80000003052
13225.8,2.0,261306.00000003053
13225.9,2.0,261306.20000003054
13226.0,2.0,261306.40000003055
13226.1,1.0,261306.50000003056
13226.2,1.0,261306.60000003056
13226.3,1.0,261306.70000003057
13226.4,1.0,261306.80000003058
13226.5,1.0,261306.90000003058
13226.6,1.0,261307.0000000306
13226.7,1.0,261307.1000000306
13226.8,0.0,261307.1000000306
13226.9,0.0,261307.1000000306
13227.0,0.0,261307.1000000306
13227.1,0.0,261307.1000000306
13227.2,0.0,261307.1000000306
13227.3,0.0,261307.1000000306
13227.4,0.0,261307.1000000306
13227.5,0.0,261307.1000000306
13227.6,0.0,261307.1000000306
13227.7,0.0,261307.1000000306
13227.8,0.0,261307.1000000306
13227.9,0.0,261307.1000000306
13228.0,0.0,261307.1000000306
